id,modality,original_duration_s,sequence_positions,feature_dimension,valid_positions,granularity,padding,source_video
-3g5yACwYnA$_$13,text,5.514,15,768,15,word,none; full ragged sequence,-3g5yACwYnA/13.mp4
-HeZS2-Prhc$_$2,audio,8.262,16,50,16,word,none; full ragged sequence,-HeZS2-Prhc/2.mp4
-HeZS2-Prhc$_$2,vision,8.262,16,110,16,word,none; full ragged sequence,-HeZS2-Prhc/2.mp4
-MeTTeMJBNc$_$0,text,9.3,21,768,21,word,none; full ragged sequence,-MeTTeMJBNc/0.mp4
-MeTTeMJBNc$_$0,audio,9.3,21,50,21,word,none; full ragged sequence,-MeTTeMJBNc/0.mp4
-MeTTeMJBNc$_$0,vision,9.3,21,110,21,word,none; full ragged sequence,-MeTTeMJBNc/0.mp4
-MeTTeMJBNc$_$13,text,5.4301,14,768,14,word,none; full ragged sequence,-MeTTeMJBNc/13.mp4
-MeTTeMJBNc$_$13,audio,5.4301,14,50,14,word,none; full ragged sequence,-MeTTeMJBNc/13.mp4
-MeTTeMJBNc$_$13,vision,5.4301,14,110,14,word,none; full ragged sequence,-MeTTeMJBNc/13.mp4
-MeTTeMJBNc$_$7,text,10.517,31,768,31,word,none; full ragged sequence,-MeTTeMJBNc/7.mp4
-MeTTeMJBNc$_$7,audio,10.517,31,50,31,word,none; full ragged sequence,-MeTTeMJBNc/7.mp4
-MeTTeMJBNc$_$7,vision,10.517,31,110,31,word,none; full ragged sequence,-MeTTeMJBNc/7.mp4
-RfYyzHpjk4$_$11,text,5.239,17,768,17,word,none; full ragged sequence,-RfYyzHpjk4/11.mp4
-RfYyzHpjk4$_$11,audio,5.239,17,50,17,word,none; full ragged sequence,-RfYyzHpjk4/11.mp4
-RfYyzHpjk4$_$11,vision,5.239,17,110,17,word,none; full ragged sequence,-RfYyzHpjk4/11.mp4
-RfYyzHpjk4$_$8,text,4.589,17,768,17,word,none; full ragged sequence,-RfYyzHpjk4/8.mp4
-RfYyzHpjk4$_$8,audio,4.589,17,50,17,word,none; full ragged sequence,-RfYyzHpjk4/8.mp4
-RfYyzHpjk4$_$8,vision,4.589,17,110,17,word,none; full ragged sequence,-RfYyzHpjk4/8.mp4
-RfYyzHpjk4$_$2,text,5.5161,25,768,25,word,none; full ragged sequence,-RfYyzHpjk4/2.mp4
-RfYyzHpjk4$_$2,audio,5.5161,25,50,25,word,none; full ragged sequence,-RfYyzHpjk4/2.mp4
-RfYyzHpjk4$_$2,vision,5.5161,25,110,24,word,none; full ragged sequence,-RfYyzHpjk4/2.mp4
-UUCSKoHeMA$_$0,text,7.8,18,768,18,word,none; full ragged sequence,-UUCSKoHeMA/0.mp4
-UUCSKoHeMA$_$0,audio,7.8,18,50,18,word,none; full ragged sequence,-UUCSKoHeMA/0.mp4
-UUCSKoHeMA$_$0,vision,7.8,18,110,18,word,none; full ragged sequence,-UUCSKoHeMA/0.mp4
-ri04Z7vwnc$_$0,text,2.807,8,768,8,word,none; full ragged sequence,-ri04Z7vwnc/0.mp4
-ri04Z7vwnc$_$0,audio,2.807,8,50,8,word,none; full ragged sequence,-ri04Z7vwnc/0.mp4
-ri04Z7vwnc$_$0,vision,2.807,8,110,0,word,none; full ragged sequence,-ri04Z7vwnc/0.mp4
-ri04Z7vwnc$_$2,text,6.027,16,768,16,word,none; full ragged sequence,-ri04Z7vwnc/2.mp4
-ri04Z7vwnc$_$2,audio,6.027,16,50,16,word,none; full ragged sequence,-ri04Z7vwnc/2.mp4
-ri04Z7vwnc$_$2,vision,6.027,16,110,8,word,none; full ragged sequence,-ri04Z7vwnc/2.mp4
-ri04Z7vwnc$_$5,text,3.545,8,768,8,word,none; full ragged sequence,-ri04Z7vwnc/5.mp4
-ri04Z7vwnc$_$5,audio,3.545,8,50,8,word,none; full ragged sequence,-ri04Z7vwnc/5.mp4
-ri04Z7vwnc$_$5,vision,3.545,8,110,8,word,none; full ragged sequence,-ri04Z7vwnc/5.mp4
-s9qJ7ATP7w$_$1,text,4.792,11,768,11,word,none; full ragged sequence,-s9qJ7ATP7w/1.mp4
-s9qJ7ATP7w$_$1,audio,4.792,11,50,11,word,none; full ragged sequence,-s9qJ7ATP7w/1.mp4
-s9qJ7ATP7w$_$1,vision,4.792,11,110,11,word,none; full ragged sequence,-s9qJ7ATP7w/1.mp4
-s9qJ7ATP7w$_$0,text,6.8,24,768,24,word,none; full ragged sequence,-s9qJ7ATP7w/0.mp4
-s9qJ7ATP7w$_$0,audio,6.8,24,50,24,word,none; full ragged sequence,-s9qJ7ATP7w/0.mp4
-s9qJ7ATP7w$_$0,vision,6.8,24,110,24,word,none; full ragged sequence,-s9qJ7ATP7w/0.mp4
-s9qJ7ATP7w$_$5,text,8.5611,19,768,19,word,none; full ragged sequence,-s9qJ7ATP7w/5.mp4
-s9qJ7ATP7w$_$5,audio,8.5611,19,50,19,word,none; full ragged sequence,-s9qJ7ATP7w/5.mp4
-s9qJ7ATP7w$_$5,vision,8.5611,19,110,19,word,none; full ragged sequence,-s9qJ7ATP7w/5.mp4
-s9qJ7ATP7w$_$4,text,4.4271,9,768,9,word,none; full ragged sequence,-s9qJ7ATP7w/4.mp4
-s9qJ7ATP7w$_$4,audio,4.4271,9,50,9,word,none; full ragged sequence,-s9qJ7ATP7w/4.mp4
-s9qJ7ATP7w$_$4,vision,4.4271,9,110,6,word,none; full ragged sequence,-s9qJ7ATP7w/4.mp4
-s9qJ7ATP7w$_$7,text,6.9661,28,768,28,word,none; full ragged sequence,-s9qJ7ATP7w/7.mp4
-s9qJ7ATP7w$_$7,audio,6.9661,28,50,28,word,none; full ragged sequence,-s9qJ7ATP7w/7.mp4
-s9qJ7ATP7w$_$7,vision,6.9661,28,110,14,word,none; full ragged sequence,-s9qJ7ATP7w/7.mp4
-s9qJ7ATP7w$_$6,text,2.475,5,768,5,word,none; full ragged sequence,-s9qJ7ATP7w/6.mp4
-s9qJ7ATP7w$_$6,audio,2.475,5,50,5,word,none; full ragged sequence,-s9qJ7ATP7w/6.mp4
-s9qJ7ATP7w$_$6,vision,2.475,5,110,5,word,none; full ragged sequence,-s9qJ7ATP7w/6.mp4
-s9qJ7ATP7w$_$8,text,3.295,12,768,12,word,none; full ragged sequence,-s9qJ7ATP7w/8.mp4
-s9qJ7ATP7w$_$8,audio,3.295,12,50,12,word,none; full ragged sequence,-s9qJ7ATP7w/8.mp4
-s9qJ7ATP7w$_$8,vision,3.295,12,110,12,word,none; full ragged sequence,-s9qJ7ATP7w/8.mp4
-yRb-Jum7EQ$_$1,text,29.2881,49,768,49,word,none; full ragged sequence,-yRb-Jum7EQ/1.mp4
-yRb-Jum7EQ$_$1,audio,29.2881,49,50,49,word,none; full ragged sequence,-yRb-Jum7EQ/1.mp4
-yRb-Jum7EQ$_$1,vision,29.2881,49,110,49,word,none; full ragged sequence,-yRb-Jum7EQ/1.mp4
-yRb-Jum7EQ$_$5,text,13.1691,25,768,25,word,none; full ragged sequence,-yRb-Jum7EQ/5.mp4
-yRb-Jum7EQ$_$5,audio,13.1691,25,50,25,word,none; full ragged sequence,-yRb-Jum7EQ/5.mp4
-yRb-Jum7EQ$_$5,vision,13.1691,25,110,25,word,none; full ragged sequence,-yRb-Jum7EQ/5.mp4
-yRb-Jum7EQ$_$6,text,11.2426,19,768,19,word,none; full ragged sequence,-yRb-Jum7EQ/6.mp4
-yRb-Jum7EQ$_$6,audio,11.2426,19,50,19,word,none; full ragged sequence,-yRb-Jum7EQ/6.mp4
-yRb-Jum7EQ$_$6,vision,11.2426,19,110,19,word,none; full ragged sequence,-yRb-Jum7EQ/6.mp4
